model_id,benchmark_id,score,evaluated_at,source_grade,harness,reasoning_effort,token_budget,source_url,notes
gpt-6-astra,deepswe-v1.1,74.0,2026-09-03,A,mini-swe-agent,xhigh,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
gemini-3.8-flash,deepswe-v1.1,74.0,2026-09-03,A,mini-swe-agent,high,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
claude-opus-5,deepswe-v1.1,74.0,2026-09-03,A,mini-swe-agent,max,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
gpt-5.6-sol,deepswe-v1.1,73.0,2026-09-03,A,mini-swe-agent,max,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
claude-fable-5,deepswe-v1.1,70.0,2026-09-03,A,mini-swe-agent,xhigh,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
glm-5.3,deepswe-v1.1,69.0,2026-09-03,A,mini-swe-agent,max,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
kimi-k3,deepswe-v1.1,69.0,2026-09-03,A,mini-swe-agent,max,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
grok-4.6,deepswe-v1.1,67.0,2026-09-03,A,mini-swe-agent,medium,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
gpt-5.6-luna,deepswe-v1.1,67.0,2026-09-03,A,mini-swe-agent,max,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
gpt-5.5,deepswe-v1.1,67.0,2026-09-03,A,mini-swe-agent,xhigh,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
gemini-3.7-flash,deepswe-v1.1,65.0,2026-09-03,A,mini-swe-agent,medium,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
glm-5.3-flash,deepswe-v1.1,63.0,2026-09-03,A,mini-swe-agent,max,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
deepseek-v4-pro,deepswe-v1.1,63.0,2026-09-03,A,mini-swe-agent,max,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
claude-opus-4.8,deepswe-v1.1,59.0,2026-09-03,A,mini-swe-agent,max,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
qwen3.8-max,deepswe-v1.1,57.0,2026-09-03,A,mini-swe-agent,xhigh,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
muse-spark-1.2,deepswe-v1.1,55.0,2026-09-03,A,mini-swe-agent,xhigh,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
claude-sonnet-5,deepswe-v1.1,54.0,2026-09-03,A,mini-swe-agent,max,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
deepseek-v4-flash,deepswe-v1.1,53.0,2026-09-03,A,mini-swe-agent,max,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
gemini-3.6-flash,deepswe-v1.1,47.0,2026-09-03,A,mini-swe-agent,high,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
glm-5.2,deepswe-v1.1,44.0,2026-09-03,A,mini-swe-agent,max,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
gemini-3.5-flash,deepswe-v1.1,36.0,2026-09-03,A,mini-swe-agent,high,,https://deepswe.datacurve.ai/,Current DeepSWE v1.1 best configuration; leaderboard reports 113 tasks.
claude-fable-5.1,deepswe-v1.1,67.4,2026-09-03,C,vendor evaluation,max,,https://openai.com/index/gpt-6-astra/,OpenAI launch comparison; retained only because current public board did not expose Fable 5.1.
claude-opus-5,terminal-bench-4.0,51.8,2026-08-28,B,Claude Code,max,,https://snorkel.ai/leaderboard/terminal-bench-4-0/,Official Harbor/Terminal-Bench 4.0 result mirrored by Snorkel AI.
claude-fable-5,terminal-bench-4.0,44.5,2026-08-28,B,Claude Code,max,,https://snorkel.ai/leaderboard/terminal-bench-4-0/,Official Harbor/Terminal-Bench 4.0 result mirrored by Snorkel AI.
glm-5.3,terminal-bench-4.0,41.8,2026-08-28,B,Claude Code,max,,https://snorkel.ai/leaderboard/terminal-bench-4-0/,Official Harbor/Terminal-Bench 4.0 result mirrored by Snorkel AI.
gpt-5.6-sol,terminal-bench-4.0,37.3,2026-08-28,B,Codex,max,,https://snorkel.ai/leaderboard/terminal-bench-4-0/,Official Harbor/Terminal-Bench 4.0 result mirrored by Snorkel AI.
claude-opus-4.8,terminal-bench-4.0,23.6,2026-08-28,B,Claude Code,max,,https://snorkel.ai/leaderboard/terminal-bench-4-0/,Official Harbor/Terminal-Bench 4.0 result mirrored by Snorkel AI.
gpt-5.6-terra,terminal-bench-4.0,21.5,2026-08-28,B,Codex,max,,https://snorkel.ai/leaderboard/terminal-bench-4-0/,Official Harbor/Terminal-Bench 4.0 result mirrored by Snorkel AI.
grok-4.6,terminal-bench-4.0,20.3,2026-08-28,B,Grok Build,high,,https://snorkel.ai/leaderboard/terminal-bench-4-0/,Official Harbor/Terminal-Bench 4.0 result mirrored by Snorkel AI.
