model_id,benchmark_id,score,evaluated_at,source_grade,harness,reasoning_effort,token_budget,source_url,notes
gemini-3.8-flash,terminal-bench-science-0.1,12.4,2026-09-04,A,mini-SWE-agent,high,,https://snorkel.ai/leaderboard/terminal-bench-science/,Current benchmark-owner leaderboard overall resolution rate.
gpt-5.6-terra,terminal-bench-science-0.1,8.6,2026-09-04,A,Codex,max,,https://snorkel.ai/leaderboard/terminal-bench-science/,Current benchmark-owner leaderboard overall resolution rate.
glm-5.3,terminal-bench-science-0.1,8.1,2026-09-04,A,Claude Code,max,,https://snorkel.ai/leaderboard/terminal-bench-science/,Current benchmark-owner leaderboard overall resolution rate.
kimi-k3,terminal-bench-science-0.1,7.1,2026-09-04,A,Claude Code,max,,https://snorkel.ai/leaderboard/terminal-bench-science/,Current benchmark-owner leaderboard overall resolution rate.
grok-4.6,terminal-bench-science-0.1,7.1,2026-09-04,A,Grok Build,xhigh,,https://snorkel.ai/leaderboard/terminal-bench-science/,Current benchmark-owner leaderboard overall resolution rate.
gemini-3.7-flash,terminal-bench-science-0.1,5.7,2026-09-04,A,mini-SWE-agent,high,,https://snorkel.ai/leaderboard/terminal-bench-science/,Current benchmark-owner leaderboard overall resolution rate.
gpt-5.6-luna,terminal-bench-science-0.1,3.3,2026-09-04,A,Codex,max,,https://snorkel.ai/leaderboard/terminal-bench-science/,Current benchmark-owner leaderboard overall resolution rate.
muse-spark-1.1,mcp-atlas-2026-04-full,88.10,2026-09-04,A,Scale MCP Atlas updated protocol,,,https://labs.scale.com/leaderboard/mcp_atlas,All-1000 pass rate under the April standardized protocol.
claude-opus-4.7,mcp-atlas-2026-04-full,79.10,2026-09-04,A,Scale MCP Atlas updated protocol,max,,https://labs.scale.com/leaderboard/mcp_atlas,All-1000 pass rate under the April standardized protocol.
gemini-3.1-pro,mcp-atlas-2026-04-full,78.20,2026-09-04,A,Scale MCP Atlas updated protocol,high,,https://labs.scale.com/leaderboard/mcp_atlas,All-1000 pass rate under the April standardized protocol.
