model_id,benchmark_id,score,evaluated_at,source_grade,harness,reasoning_effort,token_budget,source_url,notes
claude-fable-5.1,livebench-2026-06-25-reasoning,91.7,2026-09-04,A,LiveBench official,max,,https://livebench.ai/,LiveBench 2026-06-25 current snapshot; leaderboard label: Claude Fable 5.1 Max Effort.
claude-fable-5.1,livebench-2026-06-25-coding,86.4,2026-09-04,A,LiveBench official,max,,https://livebench.ai/,LiveBench 2026-06-25 current snapshot; leaderboard label: Claude Fable 5.1 Max Effort.
claude-fable-5.1,livebench-2026-06-25-agentic-coding,66.1,2026-09-04,A,LiveBench official,max,,https://livebench.ai/,LiveBench 2026-06-25 current snapshot; leaderboard label: Claude Fable 5.1 Max Effort.
claude-fable-5.1,livebench-2026-06-25-mathematics,97.0,2026-09-04,A,LiveBench official,max,,https://livebench.ai/,LiveBench 2026-06-25 current snapshot; leaderboard label: Claude Fable 5.1 Max Effort.
claude-fable-5.1,livebench-2026-06-25-data-analysis,80.3,2026-09-04,A,LiveBench official,max,,https://livebench.ai/,LiveBench 2026-06-25 current snapshot; leaderboard label: Claude Fable 5.1 Max Effort.
claude-fable-5.1,livebench-2026-06-25-language,89.5,2026-09-04,A,LiveBench official,max,,https://livebench.ai/,LiveBench 2026-06-25 current snapshot; leaderboard label: Claude Fable 5.1 Max Effort.
claude-fable-5.1,livebench-2026-06-25-instruction-following,73.0,2026-09-04,A,LiveBench official,max,,https://livebench.ai/,LiveBench 2026-06-25 current snapshot; leaderboard label: Claude Fable 5.1 Max Effort.
claude-fable-5,livebench-2026-06-25-reasoning,89.7,2026-09-04,A,LiveBench official,max,,https://livebench.ai/,LiveBench 2026-06-25 current snapshot; leaderboard label: Claude Fable 5 Max Effort.
claude-fable-5,livebench-2026-06-25-coding,86.0,2026-09-04,A,LiveBench official,max,,https://livebench.ai/,LiveBench 2026-06-25 current snapshot; leaderboard label: Claude Fable 5 Max Effort.
claude-fable-5,livebench-2026-06-25-agentic-coding,62.2,2026-09-04,A,LiveBench official,max,,https://livebench.ai/,LiveBench 2026-06-25 current snapshot; leaderboard label: Claude Fable 5 Max Effort.
claude-fable-5,livebench-2026-06-25-mathematics,96.0,2026-09-04,A,LiveBench official,max,,https://livebench.ai/,LiveBench 2026-06-25 current snapshot; leaderboard label: Claude Fable 5 Max Effort.
claude-fable-5,livebench-2026-06-25-data-analysis,80.5,2026-09-04,A,LiveBench official,max,,https://livebench.ai/,LiveBench 2026-06-25 current snapshot; leaderboard label: Claude Fable 5 Max Effort.
