model_id,benchmark_id,score,evaluated_at,source_grade,harness,reasoning_effort,token_budget,source_url,notes
claude-fable-5.1,frontierswe-v2-2026-09,56.29,2026-09-04,A,Proximus,,,https://www.frontierswe.com/,Official FrontierSWE v2 current leaderboard.
gpt-5.6-sol,frontierswe-v2-2026-09,32.2,2026-09-04,A,Proximus,,,https://www.frontierswe.com/,Official FrontierSWE v2 current leaderboard.
glm-5.3,frontierswe-v2-2026-09,30.2,2026-09-04,A,Proximus,,,https://www.frontierswe.com/,Official FrontierSWE v2 current leaderboard.
kimi-k3,frontierswe-v2-2026-09,25.9,2026-09-04,A,Proximus,max,,https://www.frontierswe.com/,Official FrontierSWE v2 current leaderboard.
grok-4.6,frontierswe-v2-2026-09,25.3,2026-09-04,A,Proximus,,,https://www.frontierswe.com/,Official FrontierSWE v2 current leaderboard.
gemini-3.7-flash,frontierswe-v2-2026-09,20.3,2026-09-04,A,Proximus,,,https://www.frontierswe.com/,Official FrontierSWE v2 current leaderboard.
qwen3.8-max,frontierswe-v2-2026-09,15.8,2026-09-04,A,Proximus,,,https://www.frontierswe.com/,Official FrontierSWE v2 current leaderboard.
deepseek-v4-flash,frontierswe-v2-2026-09,14.8,2026-09-04,A,Proximus,,,https://www.frontierswe.com/,Official experimental vision-row result; retained as the registered Flash model with protocol note.
muse-spark-1.2,frontierswe-v2-2026-09,12.0,2026-09-04,A,Proximus,,,https://www.frontierswe.com/,Official FrontierSWE v2 current leaderboard.
qwen3.8-max,mls-bench-lite-2026-09,41.0,2026-09-04,A,Claude Code,,,https://mls-bench.com/leaderboard,Official current Qwen3.8 Max row; the separate 0902 revision is intentionally excluded.
claude-fable-5,mls-bench-lite-2026-09,49.9,2026-09-04,A,Claude Code,max,,https://mls-bench.com/leaderboard,Official current leaderboard.
claude-opus-5,mls-bench-lite-2026-09,49.8,2026-09-04,A,Claude Code,max,,https://mls-bench.com/leaderboard,Official current leaderboard.
kimi-k3,mls-bench-lite-2026-09,48.3,2026-09-04,A,Kimi Code,max,,https://mls-bench.com/leaderboard,Official current leaderboard.
gpt-5.6-sol,mls-bench-lite-2026-09,46.2,2026-09-04,A,Codex,max,,https://mls-bench.com/leaderboard,Official current leaderboard.
claude-opus-4.8,mls-bench-lite-2026-09,42.8,2026-09-04,A,Claude Code,max,,https://mls-bench.com/leaderboard,Official current leaderboard.
glm-5.2,mls-bench-lite-2026-09,40.4,2026-09-04,A,Claude Code,max,,https://mls-bench.com/leaderboard,Official current leaderboard.
gpt-5.5,mls-bench-lite-2026-09,35.5,2026-09-04,A,Codex,xhigh,,https://mls-bench.com/leaderboard,Official current leaderboard.
claude-sonnet-5,mls-bench-lite-2026-09,31.4,2026-09-04,A,Claude Code,max,,https://mls-bench.com/leaderboard,Official current leaderboard.
deepseek-v4-pro,mls-bench-lite-2026-09,24.4,2026-09-04,B,Claude Code,,,https://mls-bench.com/leaderboard,Official leaderboard labels this as DeepSeek V4 Pro Preview; revision ambiguity down-grades provenance.
kimi-k3,mcpmark-verified-2026-07,96.06,2026-07-20,A,MCPMark minimal agent,max,,https://mcpmark.ai/leaderboard/verified,Official version-pinned single-run Pass@1.
